,quote,author,category
291123,ridicule is often harder to bear than self-denial.,"Louisa May Alcott, Little Women","patience, ridicule, self-denial"
158129,I've discovered I am most comfortable outside my comfort zone.,Mark W. Boyer,"comfort-zone, self-esteem, self-improvement, success-quotes, work-ethic"
57298,"When big things happen,"" he hold her, ""time flows differently. For instance, who says the world was created in six days? Maybe a day was like sixty years. Or even a thousand of a million, like it says in Psalms: For a thousand years in Thy sight are but as yesterday when it is past.","Anat Talshir, About the Night","about-the-night, anat-talshir, time"
444441,"No difficulty can discourage, no obstacle dismay, no trouble dishearten the man who has acquired the art of being alive. Difficulties are but dares of fate, obstacles but hurdles to try his skill, troubles but bitter tonics to give him strength; and he rises higher and looms greater after each encounter with adversity.",Ella Wheeler Wilcox,"Art, Adversity, Man "
291478,"The arrogance of the human mind is too fragile, as well as the patience of the human character. It is because of that, they fail to see the power of mere observation and systematic analysis.",Lionel Suggs,"arrogance, humanity, patience"
389625,Expect the worst and you won't be surprised,"Cate Holahan, Lies She Told",fact
407008,No man is a hero to his own wife  no woman is a wife to her own hero.,Anonymous,hero
43118,"There are three sources of belief: reason, custom, inspiration.","Blaise Pascal, Pensées","belief, custom, inspiration, pascal, philosophy, reason, source"
90978,"I watched as he raised his hand to run a finger down my nose to my lips, then traced my mouth.The feather-light touch made me shiver. ""What are you doing?""""I'm drawing you, so that I'll have you in my fingertips while you are gone.","Frances Watts, The Peony Lantern","admiration, art, beauty, love"
55555,"When you focus on being the best person you can be, you draw the best possible life, love, and opportunities to you.",Germany Kent,"attraction, be-you, be-yourself, do-good, focus-on-positive, focus-on-success, focus-on-the-good, focus-on-the-positive, focus-on-your-dreams, focus-on-your-life, focus-quotes, focused, germany-kent, germany-kent-quote, germany-kent-quotes, hope-guru, laws-of-attractions, life, life-and-living, life-lessons, life-lessons-quotes, life-philosophy, life-quotes, life-quotes-and-sayings, live-an-extraordinary-life, live-and-learn, live-life-quotes, live-life-so-well, live-well-love-much-love-often, live-your-life-to-the-fullest, love-yourself, opportunities, opportunities-in-life, opportunity, see-the-good, see-the-good-in-everything, see-the-goodness-in-others, self-awareness, self-development, self-improvement, the-hope-guru, what-you-attract"
53399,"If we learn to be responsible for our own emotions, thoughts, and needs, then we can see other people for who they are as opposed to what they can do for us.",Vironika Tugaleva,"emotions, love, needs, relationships, responsibility, self-awareness, self-care, thoughts, unconditional-love"
456044,"A belief is purely an individual matter, and you cannot and must not organize it. If you do, it becomes dead, crystallized; it becomes a creed, a sect, a religion, to be imposed on others.",Jiddu Krishnamurti,"Belief, Matter, You "
164364,The future is just a memory that has yet to be born,Dean Cavanagh,"future, memory"
67260,"I am the One, and I see all.But the blind man in Apartment 1-A is blind in many ways, as are all human beings, even those with functioning eyes. They are blind to their folly, to their ignorance, to their history, to the future that they will make for themselves. A future born of self-loathing.","Dean Koontz, 77 Shadow Street","fear, hatred, human-flaws, self-loathing"
146719,All children are morbid: it's their one saving grace.,"Truman Capote, Other Voices, Other Rooms","children, la-la-la, morbidity, other-people"
286020,"All we have to do is understand that we're all here for a reason and to commit ourselves to that. Then we can laugh at our sufferings, large and small and walk fearlessly, aware that each step has meaning","Paulo Coelho, The Witch Of Portobello","hope, inspirational, life, love, meanings, paulo-coelho, reason, sufferings, understand"
18354,"We must clean ourselves of any impurity.We must clear our cities of any dirt.""For God has not called us to uncleanness, but to holiness."" 1 Thessalonians 4:7",Lailah Gifty Akita,"christian, clean-up, environmental-awareness, god, holiness, motivational, repent"
176928,"Autumn is the time of balance and ofsacrifice, a time when the light is defeated by darkness, a timewhen night takes over and brings the coming winter. Theancient wisdom says that those who long for light must facetheir inner darkness and overcome it.","Tony Riches, The Secret Diary of Eleanor Cobham","autumn, darkness, light"
369297,"Nkrumah declared that we faced neither East nor West but we faced forward. But, see, we can face forward and just look at the horizon. Sometimes, as I think of Ghana, I am tempted to believe that we kept looking East and West and never made up our minds, so we just stood still.",Nana Awere Damoah,"africa, ghana"
372144,"He never bothered listening to sports; the bored him, every one of them.","Michael Finkel, The Stranger in the Woods: The Extraordinary Story of the Last True Hermit",sports
264470,"Don't cry for the dead, for the dead is deaf, dumb, blind, lame, unemotional and dead.",Michael Bassey Johnson,"agony, burial, crying, death, emotion, emotional, emotions, funeral, grave, michael-bassey-johnson, mourn, mourning, sympathy, tears"
167470,I find it ridiculous to assign a gender to an inanimate object incapable of disrobing and making an occasional fool of itself.,"David Sedaris, Me Talk Pretty One Day","gender, language, words"
114694,"I remembered my mother's speech at my wedding. ""In sickness and in sickness. That is what I wish for you. Don't seek or expect miracles. There are no miracles. Not anymore. And there are no cures for the hurt that hurts most. There is only the medicine of believing each other's pain, and being present for it."" Who will believe my pain? Who will be present for it?","Jonathan Safran Foer, Here I Am","loneliness, marriage, sadness"
95173,No Soul is identical – yet all Souls are unified.,"J.M. Harrison, You Are This: Awakening to the Living Presence of Your Soul","awakening, consciousness, non-duality, self, soul, wisdom-inspirational, wisdom-quotes"
140732,"Love is blind, they say; sex is impervious to reason and mocks the power of all philosophers. But, in fact, a person's sexual choice is the result and sum of their fundamental convictions. Tell me what a person finds sexually attractive and I will tell you their entire philosophy of life. Show me the person they sleep with and I will tell you their valuation of themselves. No matter what corruption they're taught about the virtue of selflessness, sex is the most profoundly selfish of all acts, an act which they cannot perform for any motive but their own enjoyment - just try to think of performing it in a spirit of selfless charity! - an act which is not possible in self-abasement, only in self-exultation, only on the confidence of being desired and being worthy of desire. It is an act that forces them to stand naked in spirit, as well as in body, and accept their real ego as their standard of value. They will always be attracted to the person who reflects their deepest vision of themselves, the person whose surrender permits them to experience - or to fake - a sense of self-esteem .. Love is our response to our highest values - and can be nothing else.",Ayn Rand,sex
